Target,VulnerabilityID,Package,InstalledVersion,FixedVersion,Severity,Title,PrimaryURL
fairdatasystems/fdpclient:2026-07-10 (alpine 3.22.0),CVE-2026-28387,libssl3,3.5.0-r0,3.5.6-r0,HIGH,openssl: OpenSSL: Arbitrary code execution due to use-after-free in DANE TLSA authentication,https://avd.aquasec.com/nvd/cve-2026-28387
fairdatasystems/fdpclient:2026-07-10 (alpine 3.22.0),CVE-2026-28388,libssl3,3.5.0-r0,3.5.6-r0,HIGH,openssl: OpenSSL: Denial of Service due to NULL pointer dereference in delta CRL processing,https://avd.aquasec.com/nvd/cve-2026-28388
fairdatasystems/fdpclient:2026-07-10 (alpine 3.22.0),CVE-2026-28389,libssl3,3.5.0-r0,3.5.6-r0,HIGH,openssl: OpenSSL: Denial of Service vulnerability in CMS processing,https://avd.aquasec.com/nvd/cve-2026-28389
fairdatasystems/fdpclient:2026-07-10 (alpine 3.22.0),CVE-2026-28390,libssl3,3.5.0-r0,3.5.6-r0,HIGH,openssl: OpenSSL: Denial of Service due to NULL pointer dereference in CMS EnvelopedData processing,https://avd.aquasec.com/nvd/cve-2026-28390
fairdatasystems/fdpclient:2026-07-10 (alpine 3.22.0),CVE-2026-45447,libssl3,3.5.0-r0,3.5.7-r0,HIGH,openssl: Heap Use-After-Free in OpenSSL PKCS7_verify(),https://avd.aquasec.com/nvd/cve-2026-45447
fairdatasystems/fdpclient:2026-07-10 (alpine 3.22.0),CVE-2025-49794,libxml2,2.13.8-r0,2.13.9-r0,HIGH,libxml: Heap use after free (UAF) leads to Denial of service (DoS),https://avd.aquasec.com/nvd/cve-2025-49794
fairdatasystems/fdpclient:2026-07-10 (alpine 3.22.0),CVE-2025-49795,libxml2,2.13.8-r0,2.13.9-r0,HIGH,libxml: Null pointer dereference leads to Denial of service (DoS),https://avd.aquasec.com/nvd/cve-2025-49795
fairdatasystems/fdpclient:2026-07-10 (alpine 3.22.0),CVE-2025-49796,libxml2,2.13.8-r0,2.13.9-r0,HIGH,libxml: Type confusion leads to Denial of service (DoS),https://avd.aquasec.com/nvd/cve-2025-49796
fairdatasystems/fdpclient:2026-07-10 (alpine 3.22.0),CVE-2026-6732,libxml2,2.13.8-r0,2.13.9-r1,HIGH,libxml2: libxml2: Denial of Service via crafted XSD-validated document,https://avd.aquasec.com/nvd/cve-2026-6732
fairdatasystems/fdpclient:2026-07-10 (alpine 3.22.0),CVE-2026-40200,musl,1.2.5-r10,1.2.5-r12,HIGH,musl: musl libc: Arbitrary code execution and denial of service via stack-based memory corruption in qsort,https://avd.aquasec.com/nvd/cve-2026-40200
fairdatasystems/fdpclient:2026-07-10 (alpine 3.22.0),CVE-2026-40200,musl-utils,1.2.5-r10,1.2.5-r12,HIGH,musl: musl libc: Arbitrary code execution and denial of service via stack-based memory corruption in qsort,https://avd.aquasec.com/nvd/cve-2026-40200
fairdatasystems/fdpclient:2026-07-10 (alpine 3.22.0),CVE-2026-27135,nghttp2-libs,1.65.0-r0,1.68.1,HIGH,nghttp2: nghttp2: Denial of Service via malformed HTTP/2 frames after session termination,https://avd.aquasec.com/nvd/cve-2026-27135
fairdatasystems/fdpclient:2026-07-10 (alpine 3.22.0),CVE-2025-58050,pcre2,10.43-r1,10.46-r0,CRITICAL,pcre2: PCRE2: heap-buffer-overflow read in match_ref due to missing boundary restoration in SCS,https://avd.aquasec.com/nvd/cve-2025-58050
fairdatasystems/fdpclient:2026-07-10 (alpine 3.22.0),CVE-2026-22184,zlib,1.3.1-r2,1.3.2-r0,HIGH,zlib: zlib: Arbitrary code execution via buffer overflow in untgz utility,https://avd.aquasec.com/nvd/cve-2026-22184
